foodCode,foodFactVersionNumber,packageQuantity,packageUnitCode,packageBaseQuantity,baseUnitCode,packagePriceVnd,purchaseIncrement,observedAt,sourceReference
bi_dao,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
bi_do,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
muop_huong,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
su_su,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
ca_chua,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
ca_rot,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
khoai_tay,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
dau_cove,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
gia_do,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
nam_rom,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
hanh_tay,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
hanh_la,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
hanh_tim,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
toi,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
gung,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
sa,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
ot_hiem,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
rau_ngo,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
me_chua,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
nuoc_mam,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",l,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",ml,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
nuoc_tuong,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",l,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",ml,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
dau_an,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",l,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",ml,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
muoi,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
duong_cat,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
tieu_xay,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
hat_nem,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
