mealOptionCode,recipeCode,recipeVersionNumber,quantityMultiplier,mealRole,order
com_trung_chien_thit_bam_bap_cai,com_trang,3,0.25,staple,1
com_trung_chien_thit_bam_bap_cai,trung_chien_thit_bam,3,1,main,2
com_trung_chien_thit_bam_bap_cai,bap_cai_xao,3,0.333333333333,vegetable,3
com_dau_hu_sot_ca_chua_rau_muong,com_trang,3,1,staple,1
com_dau_hu_sot_ca_chua_rau_muong,dau_hu_sot_ca_chua,3,1,main,2
com_dau_hu_sot_ca_chua_rau_muong,rau_muong_luoc,3,1,vegetable,3
com_dau_hu_chien_sa_cai_ngot,com_trang,3,0.5,staple,1
com_dau_hu_chien_sa_cai_ngot,dau_hu_chien_sa,3,1,main,2
com_dau_hu_chien_sa_cai_ngot,cai_ngot_luoc,3,0.4,vegetable,3
com_dau_hu_kho_nam_muop_xao,com_trang,3,0.75,staple,1
com_dau_hu_kho_nam_muop_xao,dau_hu_kho_nam,3,0.75,main,2
com_dau_hu_kho_nam_muop_xao,muop_xao_toi,3,1,vegetable,3
